PERMIT_NUMBER,OWNER_NAME,STATUS_CODE,CITY,STREET,STATE,ZIP,ZIP4,COUNTY,PERMIT_EFFECTIVE_DATE,PERMIT_ISSUE_DATE,,
MO-S-20001,"STRONG SPIRITS DISTILLING, INC.",Active,PARKVILLE,8500  NW RIVER PARK DR ,MO,64152,4443,Platte,16-Jul-12,16-Jul-12,,
MO-S-20002,"T'S REDNECK STEAKHOUSE, INC.",Active,LEBANON,221  EVERGREEN PKWY ,MO,65536,7361,Laclede,20-Jul-12,20-Jul-12,,
MO-S-20003,"OF THE EARTH FARM DISTILLERY, LLC",Active,RAYVILLE,38391  W 176TH ST ,MO,64084,8196,Ray,17-Aug-12,17-Aug-12,,
MO-S-20004,"STILL 630, LLC",Active,SAINT LOUIS,1000  S 4TH ST ,MO,63104,3612,,17-Aug-12,17-Aug-12,,
MO-S-20005,REECE'S DISTILLED SPIRITS LLC,Active,NIXA,1075  W KATHRYN ST ,MO,65714,0,Christian,4-Sep-12,4-Sep-12,,
MO-S-20007,"OZARK DISTILLERY, LLC",Active,OSAGE BEACH,1684  KK HWY ,MO,65065,4815,Camden,26-Dec-12,26-Dec-12,,
MO-S-20008,"WOOD HAT SPIRITS, LLC",Active,NEW FLORENCE,489  BOONESLICK RD ,MO,63363,2500,Montgomery,28-Mar-13,28-Mar-13,,
MO-S-20009,"LES BOURGEOIS VINEYARDS, INC.",Active,ROCHEPORT, ,MO,65279,0,boone,26-Apr-13,26-Apr-13,,
MO-S-20010,MID-BEST DISTILLERY INC,Active,GRAVOIS MILLS,423  VALLEY RD ,MO,65037,0,Morgan,20-May-13,20-May-13,,
MO-S-20011,SAPCO INC,Active,CEDAR HILL,6625  MALL DR ,MO,63016,0,Jefferson,11-Jun-13,11-Jun-13,,
MO-S-20012,"SHAWNEE BLUFF DISTILLERIES, LLC",Active,ELDON,8 TOLWOOD RD ,MO,65026,0,,3-Jul-13,3-Jul-13,,
MO-S-20013,"OZARK HILLS MOONSHINE, LLC",Active,CHADWICK,625  CEDAR CREEK RD ,MO,65629,0,Christian,17-Sep-13,17-Sep-13,,
MO-S-20014,DOGMASTER DISTILLERY L.L.C.,Active,COLUMBIA,210  ST. JAMES ST ,MO,65201,0,Boone,18-Oct-13,18-Oct-13,,
MO-S-20016,"JACOB RIEGER & COMPANY, LLC",Active,KANSAS CITY,2700  GUINOTTE AVE ,MO,64120,0,,10-Jun-14,10-Jun-14,,
MO-S-20017,"SCHOENWEID FARM, LLC",Active,MARTHASVILLE,13728  SHAWNEE VALLEY ROAD RD E,MO,63357,1792,Warren,24-Dec-14,24-Dec-14,,
MO-S-20018,"TOM'S TOWN DISTILLING COMPANY, LLC.",Active,KANSAS CITY,1701  MAIN ST ,MO,64108,0,Jackson,10-Feb-15,10-Feb-15,,
MO-S-20019,"THE FOUNTAIN ON LOCUST, INC.",Active,ST LOUIS,3037  LOCUST ST ,MO,63103,0,,22-Apr-15,22-Apr-15,,
MO-S-20020,ROCKING C DISTILLERY LLC,Active,PRINCETON,20665  US HIGHWAY 136 ,MO,64673,0,Mercer,22-May-15,22-May-15,,
MO-S-20021,"LIFTED SPIRITS DISTILLATION, LLC",Active,KANSAS CITY,1734  CHERRY ST ,MO,64108,0,Jackson,13-Jul-15,13-Jul-15,,
MO-S-20022,"RESTLESS SPIRITS DISTILLING COMPANY, LLC",Active,NORTH KANSAS CITY,109  E 18TH AVE ,MO,64116,0,,6-Aug-15,6-Aug-15,,
MO-S-20023,"BONE HILL VIEW DISTILLERY, LLC",Active,BUCKNER,321  S HUDSON ST ,MO,64016,0,Jackson,18-Aug-15,18-Aug-15,,
MO-S-20024,"TEMPEST DISTILLING & SPIRITS, CO., LLC",Active,SAINT LOUIS,2926  LOCUST BLVD ,MO,63103,1204,Saint Louis,5-Nov-15,5-Nov-15,,
MO-S-20025,"DISTILLERY OF DEFIANCE, L.L.C.",Active,DEFIANCE,125  BOONE COUNTRY LN ,MO,63341,0,St. Charles County,3-Dec-15,3-Dec-15,,
MO-S-20026,"CROWN VALLEY WINERY, INC.",Active,BRANSON,1420  W 76 COUNTRY BLVD ,MO,65616,0,,7-Dec-15,7-Dec-15,,
MO-S-20027,"WOODSMEN, LLC",Active,HIGBEE,7239  HWY A ,MO,65257,0,,8-Mar-16,8-Mar-16,,
MO-S-20028,MISSOURI RIDGE DISTILLERY LLC,Active,BRANSON,7000  STATE HIGHWAY 248 ,MO,65616,0,Taney,22-Mar-16,22-Mar-16,,
MO-S-20029,STACI BENNETT,Active,INDEPENDENCE,27904  E PINK HILL RD ,MO,64057,0,JACKSON,18-Apr-16,18-Apr-16,,
MO-S-20030,OZARK MOUNTAIN DISTILLING LLC,Active,PURDY,7631  HIGHWAY T ,MO,65734,8708,Barry,24-Jun-16,24-Jun-16,,
MO-S-20031,"TRIPLE SSS VENTURES, LLC",Active,BRANSON,197 ADAIR RD ,MO,65616,0,TANEY,14-Jul-16,14-Jul-16,,
MO-S-20032,V AND L HOLDINGS LLC,Active,CONCORDIA,106  NW 2ND ST ,MO,64020,0,,14-Dec-16,14-Dec-16,,
MO-S-20033,SOULARD ISLAND L.L.C.,Active,ST. LOUIS,1013  ANN AVE ,MO,63104,0,,14-Dec-16,14-Dec-16,,
MO-S-22,AUGUSTA WINE COMPANY,Active,AUGUSTA,201 MONTELLE DR ,MO,63332,1518,SAINT CHARLES,28-Sep-04,28-Sep-04,,
MS-S-15000,"BOTTLE TREE BEVERAGE COMPANY, LLC",Active,JACKSON,422 S FARISH ST ,MS,39201,0,HINDS,6-Oct-10,6-Oct-10,,
MS-S-20001,CHARBONEAU DISTILLERY LLC,Active,NATCHEZ,617  JEFFERSON ST ,MS,39120,0,,14-Jul-14,14-Jul-14,,
MS-S-20003,"RICH GRAIN DISTILLING CO., LLC",Active,CANTON,339  W PEACE ST ,MS,39046,0,Madison,27-Apr-15,27-Apr-15,,
MS-S-20004,CRITTENDEN DISTILLERY LLC,Active,KILN,19193  HIGHWAY 43 ,MS,39556,0,Hancock,9-Nov-16,9-Nov-16,,
MT-S-15002,"YELLOWSTONE VALLEY BREWING, LLC",Active,BILLINGS,2123-B 1ST AVE N,MT,59101,2404,YELLOWSTONE,30-Oct-08,30-Oct-08,,
MT-S-15007,"SWANSON'S MOUNTAIN VIEW DISTILLERY, LLC",Active,CORVALLIS,1775 MOUNTAIN VIEW ORCHARD RD ,MT,59828,9661,RAVALLI,7-Jan-11,7-Jan-11,,
MT-S-15008,"WHISTLING ANDY, INC.",Active,BIGFORK,8541 MT HIGHWAY 35 ,MT,59911,3715,FLATHEAD,8-Nov-10,8-Nov-10,,
MT-S-15009,"GLACIER DISTILLING, LLC",Active,CORAM,10237 HWY 2 E ,MT,59913,0,FLATHEAD,28-Dec-10,28-Dec-10,,
MT-S-15010,"HEADFRAME SPIRITS, INC.",Active,BUTTE,21 S MONTANA ST ,MT,59701,1641,SILVER BOW,3-Aug-11,3-Aug-11,,
MT-S-15011,"MONTGOMERY DISTILLERY, INC.",Active,MISSOULA,129 W FRONT ST ,MT,59802,4303,MISSOULA,31-Oct-11,31-Oct-11,,
MT-S-15012,"HEADFRAME SPIRITS MANUFACTURING, INC.",Active,BUTTE,341 ANACONDA RD ,MT,59701,0,SILVER BOW,10-Dec-13,10-Dec-13,,
MT-S-20001,"BOOTLEG DISTILLERY, INC.",Active,BILLINGS,2314  MONTANA AVE ,MT,59101,2420,Yellowstone,1-May-12,1-May-12,,
MT-S-20002,"WILLIE'S DISTILLERY, INC.",Active,ENNIS,312  E ENNIS ST ,MT,59729,0,,20-Jul-12,20-Jul-12,,
MT-S-20003,"TEN MILE DISTILLING, LLC",Active,HELENA,790  FRONT ST ,MT,59601,9,Lewis and Clark,10-Dec-12,10-Dec-12,,
MT-S-20004,CARL J. BOCK,Active,POTOMAC,23545  E HIGHWAY 200 ,MT,59823,0,,10-Feb-13,10-Feb-13,,
MT-S-20005,"THE MT DISTILLERY, LLC",Active,MISSOULA,627  WOODY ST ,MT,59802,4137,Lincoln,14-Mar-13,14-Mar-13,,
MT-S-20006,"BOZEMAN SPIRITS, LLC",Active,BOZEMAN,121  W MAIN ST ,MT,59715,4644,Gallatin,20-May-13,20-May-13,,
MT-S-20007,"WILDRYE DISTILLING, LLC",Active,BOZEMAN,111 E OAK ST ,MT,59715,0,GALLATIN,25-Oct-13,25-Oct-13,,
MT-S-20008,STONEHOUSE DISTILLERY LLC,Active,WINSTON,37  MUFFLEY LN ,MT,59647,0,Broadwater,6-May-14,6-May-14,,
MT-S-20010,RATTLESNAKE CREEK DISTILLERS,Active,MISSOULA,128  W ALDER ST ,MT,59802,0,USA,23-Dec-14,23-Dec-14,,
MT-S-20011,SPOTTED BEAR SPIRITS LLC,Active,WHITEFISH,503  RAILWAY ST ,MT,59937,0,Flathead,9-Oct-15,9-Oct-15,,
MT-S-20012,DRY HILLS DISTILLERY LLC,Active,BOZEMAN,106  VILLAGE CENTER LN ,MT,59718,0,,9-Dec-15,9-Dec-15,,
MT-S-20013,"SEFCAK, LLP",Active,KALISPELL,2134  E HIGHWAY 2 ,MT,59937,0,Flathead,20-Jan-16,20-Jan-16,,
MT-S-20014,"MONKEY JAY'S DISTILLERY, LLC",Active,KALISPELL,465  ASH RD ,MT,59901,0,Flathead,17-Aug-16,17-Aug-16,,
NC-S-15003,"CAROLINA DISTILLERY, LLC",Active,LENOIR,1001 WEST AVE NW,NC,28645,5126,CALDWELL,17-Nov-09,17-Nov-09,,
NC-S-15004,THE MAUNEY GROUP LLC,Active,KINGS MOUNTAIN,405 S CANSLER ST ,NC,28086,0,CLEVELAND,22-Nov-09,22-Nov-09,,
NC-S-15005,"ENOCH WINERY, L.L.C.",Active,BENSON,3735 NC HIGHWAY 50 S,NC,27504,8649,JOHNSTON,26-Apr-10,26-Apr-10,,
NC-S-15009,THE COPPER STILL LLC,Active,ASHEVILLE,42 OLD ELK MOUNTAIN RD ,NC,28804,2070,BUNCOMBE,22-Aug-11,22-Aug-11,,
NC-S-15010,"AZURE SKYE BEVERAGES, INC",Active,CHARLOTTE,5253 OLD DOWD  RD ,NC,28208,7394,MECKLENBURG,14-Nov-11,14-Nov-11,,
NC-S-15011,"BROADSLAB DISTILLERY, LLC",Active,BENSON,4682 NC HWY 50 S,NC,27504,8637,JOHNSTON,21-Oct-11,21-Oct-11,,
NC-S-15012,"BLUE RIDGE DISTILLING CO., INC.",Active,BOSTIC,228 REDBUD LN ,NC,28018,0,RUTHERFORD,14-Feb-12,14-Feb-12,,
NC-S-15013,MUDDY RIVER DISTILLERY LLC,Active,BELMONT,1500 RIVER DR ,NC,28012,3578,GASTON,23-Jan-12,23-Jan-12,,
NC-S-15014,TOP SPIRITS LLC,Active,CHAPEL HILL,505C W FRANKLIN ST ,NC,27516,0,ORANGE,1-Feb-12,1-Feb-12,,
NC-S-15015,ASHEVILLE DISTILLING COMPANY,Active,ASHEVILLE,12 OLD CHARLOTTE  HWY ,NC,28803,0,BUNCOMBE,23-Feb-12,23-Feb-12,,
NC-S-15016,"MOTHER EARTH BREWING, LLC",Active,KINSTON,302 MITCHELL ST ,NC,28501,0,LENOIR,31-Aug-12,31-Aug-12,,
NC-S-15017,"HELMETS REQUIRED, LLC",Active,MORGANTON,5781 MT. OLIVE CHURCH  RD ,NC,28655,5801,BURKE,8-Jul-13,8-Jul-13,,
NC-S-15018,"LAWS DISTILLERY, INC.",Active,LENOIR,1889 GREASY CREEK RD ,NC,28645,0,CALDWELL,25-Jul-13,25-Jul-13,,
NC-S-20001,"TOBACCO ROAD DISTILLERS, INC.",Active,CLINTON,605  WARSAW HWY ,NC,28328,0,Sampson,27-Feb-12,27-Feb-12,,
NC-S-20002,COVINGTON SPIRITS LLC,Active,SNOW HILL,310  KINGOLD BLVD ,NC,28580,1306,greene,10-Jul-12,10-Jul-12,,
NC-S-20003,"WINDSOR RUN CELLARS, INC.",Active,HAMPTONVILLE,6531  WINDSOR RD ,NC,27020,7916,Yadkin,31-Jul-12,31-Jul-12,,
NC-S-20004,BROTHERS VILGALYS SPIRITS LLC,Active,DURHAM,803  RAMSEUR ST ,NC,27701,0,,31-Aug-12,31-Aug-12,,
NC-S-20005,"PETZOLD DISTILLERIES, LLC",Active,MARSHALL,6461  HIGHWAY 212 ,NC,28753,7560,United States of America,18-Oct-12,18-Oct-12,,
NC-S-20006,DIABLO DISTILLERIES LLC,Active,JACKSONVILLE,245  JIM PARKER RD ,NC,28546,0,Onslow,25-Jan-13,25-Jan-13,,
NC-S-20007,STEVEN COX,Active,MOUNT AIRY,461  N SOUTH ST ,NC,27030,0,Surry,18-Jun-13,18-Jun-13,,
NC-S-20008,"THE TIPSY BEE, INC.",Active,CHINQUAPIN,1764  LYMAN RD ,NC,28521,0,Duplin,8-Jul-13,8-Jul-13,,
NC-S-20009,"SCOTTS POINT DISTILLERY, LTD.",Active,BATH,1109  POST RD ,NC,27808,0,Beaufort,23-Aug-13,23-Aug-13,,
NC-S-20010,"LOST COLONY SPIRITS, LLC",Active,WINSTON-SALEM,840 MILL WORKS ST ,NC,27101,0,FORSYTH,30-Aug-13,30-Aug-13,,
NC-S-20011,"DEVIL'S DISTILLERY, LLC",Active,PITTSBORO,220  LORAX LN ,NC,27312,8897,Chatham,13-Nov-13,13-Nov-13,,
NC-S-20012,"SCREAMING EAGLE DISTILLERS, LLC",Active,TAYLORSVILLE,"843  NC 90, HIGHWAY E. ",NC,28681,0,Alexander,27-Nov-13,27-Nov-13,,
NC-S-20013,"CAG FARMS, INC.",Active,ANGIER,275  BOWLING SPRING DR ,NC,27501,0,,9-Dec-13,9-Dec-13,,
NC-S-20014,"KITTY HAWK STILLS, LLC",Active,GREENVILLE,226  FORLINES RD ,NC,27858,0,PITT,19-Dec-13,19-Dec-13,,
NC-S-20015,"FOOTHILLS DISTILLERY, LLC",Active,CONOVER,300  THORNBURG DR SE,NC,28613,9429,UNITED STATES,10-Jan-14,10-Jan-14,,
NC-S-20018,OUTER BANKS CRAFT DISTILLING LLC,Active,MANTEO,510  BUDLEIGH ST ,NC,27954,0,Dare,5-May-14,5-May-14,,
NC-S-20019,"NEWCASTLE ASSETS, INC",Active,NORTH WILKESBORO,1865  ROCK CREEK RD ,NC,28659,0,Wilkes,19-May-14,19-May-14,,
NC-S-20020,"WALTON'S DISTILLERY, INC.",Active,JACKSONVILLE,261  BEN WILLIAMS RD ,NC,28540,0,ONSLOW,18-Jul-14,18-Jul-14,,
NC-S-20021,GREAT WAGON ROAD DISTILLING COMPANY LLC,Active,CHARLOTTE,227  SOUTHERN DR ,NC,28217,0,,31-Jul-14,31-Jul-14,,
NC-S-20022,"BROAD BRANCH DISTILLERY, LLC",Active,WINSTON SALEM,756  N TRADE ST ,NC,27101,0,,31-Jul-14,31-Jul-14,,
NC-S-20023,"SEVENTY EIGHT C, INC.",Active,RALEIGH,2660  DISCOVERY DR ,NC,27616,0,USA,29-Aug-14,29-Aug-14,,
NC-S-20024,"SOUTHERN GRACE DISTILLERIES, INC.",Active,MOUNT PLEASANT,130  DUTCH RD ,NC,28124,0,Cabarrus,8-Sep-14,8-Sep-14,,
NC-S-20025,"OAK CITY DISTILLING, INC",Active,RALEIGH,5995  CHAPEL HILL RD ,NC,27607,0,Wake,6-Oct-14,6-Oct-14,,
NC-S-20026,RALEIGH RUM COMPANY LLC,Active,RALEIGH,1100  CORPORATION PKWY ,NC,27610,1300,Wake,30-Oct-14,30-Oct-14,,
NC-S-20027,"DURHAM DISTILLERY, LLC",Active,DURHAM,711  WASHINGTON ST ,NC,27701,2147,,5-Dec-14,5-Dec-14,,
NC-S-20028,"COPPER BARREL DISTILLERY, LLC",Active,NORTH WILKESBORO,508  MAIN ST ,NC,28659,4406,WILKES,18-Dec-14,18-Dec-14,,
NC-S-20029,"CALL FAMILY DISTILLERS, LLC",Active,WILKESBORO,1611  INDUSTRIAL DR ,NC,28697,0,Wilkes,19-Dec-14,19-Dec-14,,
NC-S-20030,"SEVEN JARS DISTILLERY, LLC",Active,CHARLOTTE,6148 A BROOKSHIRE BLVD ,NC,28216,2426,Mecklenburg,18-Feb-15,18-Feb-15,,
NC-S-20031,"DOC PORTER'S DISTILLERY, LLC",Active,CHARLOTTE,232  E PETERSON DR ,NC,28217,1720,,4-Mar-15,4-Mar-15,,
NC-S-20032,MALT DISTILLING LLC,Active,OLD FORT,965  PINECOVE RD ,NC,28762,0,McDowell,4-Mar-15,4-Mar-15,,
NC-S-20033,"CAROLINA BEVERAGE GROUP, LLC",Active,MOORESVILLE,110  BARLEY PARK LN ,NC,28115,0,Iredell,20-Apr-15,20-Apr-15,,
NC-S-20034,"ALLJUICE OPERATING, LLC",Active,HENDERSONVILLE,352  JET ST ,NC,28792,0,Henderson,4-May-15,4-May-15,,
NC-S-20035,"DRACO INVICTUS, LLC",Active,CHARLOTTE,516  E 15TH ST ,NC,28206,3490,Mecklenburg,26-May-15,26-May-15,,
NC-S-20036,PINE TOP DISTILLERY LLC,Active,RALEIGH,1053  E WHITAKER MILL RD ,NC,27604,1425,WAKE,16-Jun-15,16-Jun-15,,
NC-S-20038,"OAKLEE DISTILLING COMPANY, LLC",Active,WENDELL,13  N MAIN ST ,NC,27591,0,,19-Aug-15,19-Aug-15,,
NC-S-20039,"DALTON DISTILLERY, LLC",Active,ASHEVILLE,251  BILTMORE AVE ,NC,28801,0,Buncombe,24-Oct-15,24-Oct-15,,
NC-S-20040,"FAINTING GOAT SPIRITS, LLC",Active,GREENSBORO,115  W LEWIS ST ,NC,27406,0,,28-Dec-15,28-Dec-15,,
NC-S-20041,H&H DISTILLERY LLC,Active,ASHVILLE,204  CHARLOTTE HWY ,NC,28803,0,Buncombe,28-Dec-15,28-Dec-15,,
NC-S-20042,LIZARD LICK BREWING AND DISTILLING LLC,Active,ZEBULON,138  E VANCE ST ,NC,27597,0,Wake,5-Feb-16,5-Feb-16,,
NC-S-20043,LASSITER DISTILLING COMPANY LLC,Active,KNIGHTDALE,319  N FIRST AVE ,NC,27545,0,,7-Apr-16,7-Apr-16,,
NC-S-20044,"CAPE FEAR VINEYARD AND WINERY, LLC",Active,ELIZABETHTOWN,195  VINEYARD DR ,NC,28337,0,Bladen,18-Apr-16,18-Apr-16,,
NC-S-20045,"HOLMAN DISTILLERY, LLC",Active,MORAVIAN FALLS,385  HOSE RD ,NC,28654,0,Wilkes,16-May-16,16-May-16,,
NC-S-20046,"CAROLINA SALOON DISTILLERY, INC.",Active,YOUNGSVILLE,363  BERT WINSTON RD ,NC,27596,0,United States,24-Jun-16,24-Jun-16,,
NC-S-20047,GOLD LEAF DISTILLING COMPANY,Active,FUQUAY VARINA,209 1/2 TECHNOLOGY PARK LN ,NC,27526,0,Wake,13-Jul-16,13-Jul-16,,
NC-S-20048,"SMBV, LLC",Active,RUTHERFORD COLLEGE,1027  MALCOLM BLVD ,NC,28671,0,Burke,22-Jul-16,22-Jul-16,,
NC-S-20049,OAK & GRIST DISTILLING COMPANY L.L.C.,Active,BLACK MOUNTAIN,1556  GROVESTONE RD ,NC,28711,0,Buncombe,27-Jul-16,27-Jul-16,,
NC-S-20050,TWO DOORS DISTILLING LLC,Active,DURHAM,609  FOSTER ST ,NC,27701,0,Durham,20-Aug-16,20-Aug-16,,
NC-S-20051,"SOUTHERN DISTILLING COMPANY, LLC",Active,STATESVILLE,211  JENNINGS RD ,NC,28625,0,,22-Aug-16,22-Aug-16,,
NC-S-20052,"GUNPOWDER CREEK DISTILLERS, LLC",Active,HICKORY,1260  25TH STREET PL SE,NC,28602,0,Catawba,20-Sep-16,20-Sep-16,,
NC-S-20053,BARRISTER AND BREWER LLC,Active,DURHAM,1212  N MINERAL SPRINGS RD ,NC,27703,0,Durham,22-Sep-16,22-Sep-16,,
NC-S-20054,"GRAYBEARD DISTILLERY, INC.",Active,DURHAM,4625  INDUSTRY LN ,NC,27707,0,Durham,5-Oct-16,5-Oct-16,,
NC-S-20055,"THREE STACKS DISTILLING CO., LLC",Active,KINSTON,905  ATLANTIC AVE ,NC,28501,0,Lenoir,13-Oct-16,13-Oct-16,,
NC-S-20056,"APOTHECARY BEVERAGE COMPANY, INC.",Active,ASHEVILLE,151  COXE AVE ,NC,28801,0,Buncombe,25-Nov-16,25-Nov-16,,
NC-S-20057,"THE OLD NICK WILLIAMS COMPANY, INC.",Active,LEWISVILLE,2675  WILLIAMS RD ,NC,27023,0,Forsyth,23-Dec-16,23-Dec-16,,
NC-S-4,"PIEDMONT DISTILLERS, INC.",Active,MADISON,3960 US HIGHWAY 220 ,NC,27025,0,ROCKINGHAM,8-Dec-99,5-May-05,,
ND-S-15001,"MAPLE RIVER DISTILLERY, LLC",Active,CASSELTON,4 LANGER AVE N,ND,58012,0,CASS,28-Aug-09,28-Aug-09,,
ND-S-15002,"POINTE OF VIEW WINERY, L.L.C.",Active,BURLINGTON,8413 19TH AVE NW,ND,58722,9550,WARD,18-Dec-09,18-Dec-09,,
ND-S-15003,"MOON RIVER DISTILLERY, INC.",Active,PARK RIVER,6966 HIGHWAY 18 ,ND,58270,9352,WALSH,26-Oct-11,26-Oct-11,,
ND-S-20001,"PROOF ARTISAN DISTILLERS, LLC",Active,FARGO,414  N 4TH AVE ,ND,58102,0,Cass,17-Feb-15,17-Feb-15,,
NE-S-15002,COOPER'S CHASE DISTILLERY L.L.C.,Active,WEST POINT,584 18TH  RD ,NE,68788,4515,CUMING,1-Mar-13,5-Mar-13,,
NE-S-15003,"CUT SPIKE DISTILLERY, LLC",Active,LA VISTA,11941 CENTENNIAL RD ,NE,68128,5623,SARPY,23-Jun-09,23-Jun-09,,
NE-S-15004,"NEBRASKA CORN PROCESSING, LLC",Active,CAMBRIDGE,107 POTTER  ST ,NE,69022,6539,FURNAS,28-Jan-10,1-Apr-10,,
NE-S-15005,"PRAIRIE SPIRITS, INC.",Active,ANSLEY,45360 DRIVE 797 ,NE,68814,5107,CUSTER,25-Mar-13,25-Mar-13,,
NE-S-20001,PATRIARCH DISTILLERS LLC,Active,LA VISTA,12251  CARY CIR ,NE,68128,0,Sarpey,27-Sep-13,27-Sep-13,,
NE-S-20002,"BORGATA BREWING AND DISTILLING, LLC",Active,OMAHA,1116  JACKSON ST ,NE,68102,0,Douglas,28-Mar-14,28-Mar-14,,
NE-S-20003,"SALT VALLEY SPIRITS, LLC",Active,LINCOLN,500  W SOUTH ST ,NE,68522,0,Lancaster,30-May-14,30-May-14,,
NE-S-20004,"VALERO RENEWABLE FUELS COMPANY, LLC",Active,ALBION,2615  260TH ST ,NE,68620,5860,,29-Jun-15,29-Jun-15,,
NE-S-20005,"LAZY RW ENTERPRISES, LLC",Active,MOOREFIELD,511  S ASH ST ,NE,69039,5134,,18-Aug-15,18-Aug-15,,
NE-S-20006,"GREAT PLAINS DISTILLERY, L.L.C.",Active,SCOTTSBLUFF,213  W RAILWAY ST ,NE,69361,0,SCOTTS BLUFF,28-Oct-16,28-Oct-16,,
NH-S-15005,"FABRIZIA SPIRITS, LLC",Active,SALEM,2 INDUSTRIAL WAY ,NH,3079,5856,ROCKINGHAM,7-Mar-12,7-Mar-12,,
NH-S-15006,THE SEA HAGG DISTILLERY LLC,Active,NORTH HAMPTON,135 LAFAYETTE RD ,NH,3862,2446,ROCKINGHAM,6-Apr-12,6-Apr-12,,
NH-S-15009,MOUNT WASHINGTON DISTILLERS LLC,Active,BELMONT,19 FIELD LN ,NH,3220,0,BELKNAP,8-Aug-16,8-Aug-16,,
NH-S-20001,"FLAG HILL DISTILLERY, LLC",Active,LEE,297  N RIVER RD ,NH,3861,6213,Strafford,27-Mar-13,27-Mar-13,,
NH-S-20002,"SMOKY QUARTZ DISTILLERY, LLC",Active,SEABROOK,894  LAFAYETTE RD ,NH,3874,0,USA,20-Jun-13,20-Jun-13,,
NH-S-20003,"DJINN SPIRITS, LLC",Active,NASHUA,2  TOWNSEND WEST ,NH,3063,1277,Hillsborough,15-Aug-13,15-Aug-13,,
NH-S-20004,"MAGARI, LLC",Active,HAMSTEAD,285  STAGE RD ,NH,3841,0,USA,18-Oct-13,18-Oct-13,,
NH-S-20005,CANTERBURY SPIRITS LLC,Active,CANTERBURY,338  SHAKER RD ,NH,3224,0,Merrimack,28-Mar-14,28-Mar-14,,
NH-S-20006,"TALL SHIP DISTILLERY, LLC",Active,DOVER,32  CROSBY ROAD ,NH,3820,0,,6-May-14,6-May-14,,
NH-S-20007,"SAZERAC OF NEW HAMPSHIRE, LLC",Active,LONDONDERRY,11  COMMERCE AVE ,NH,3053,2041,Rockingham,7-May-14,7-May-14,,
NH-S-20008,TRANSCENDENTAL SPIRITS LLC,Active,TAMWORTH,15  CLEVELAND HILL RD ,NH,3886,0,Carroll,12-Jun-14,12-Jun-14,,
NH-S-20009,ROBERT ALEXANDER PATTON SPRUILL,Active,WINCHESTER,136  MAIN ST ,NH,3470,0,Cheshire County,3-Nov-14,3-Nov-14,,
NH-S-20010,"HAUNTING WHISPER, LLC",Active,DANBURY,77  OAK RIDGE DR ,NH,3230,219,,3-Apr-15,3-Apr-15,,
NH-S-20011,"COPPER CANNON DISTILLERY, LLC",Active,WEST CHESTERFIELD,2  LYMAN WAY ,NH,3466,0,,23-Sep-15,23-Sep-15,,
NH-S-20012,"PTS FOOD ENTERPRISES, LLC",Active,MANCHESTER,500  COMMERCIAL ST ,NH,3101,0,Hillsborough,26-Oct-15,26-Oct-15,,
NH-S-20013,FRANK MARINO,Active,MEREDITH,343  DANIEL WEBSTER HWY ,NH,3253,0,Belknap,30-Nov-15,30-Nov-15,,
NJ-S-15001,ATLANTIC BOTTLING LLC,Active,OCEAN,23 CINDY LN ,NJ,7712,7277,MONMOUTH,20-Aug-10,20-Aug-10,,
NJ-S-15004,LLOYD'S ORIGINAL INC,Active,TINTON FALLS,3068 SHAFTO RD ,NJ,7753,7552,MONMOUTH,17-Jun-10,17-Jun-10,,
NJ-S-15010,"BIG STILL LIQUORS, LLC",Active,CLIFTON,27A SEBAGO ST ,NJ,7013,0,PASSAIC,17-Apr-15,23-Oct-15,,
NJ-S-15011,"L. D. ACEPRO, INC.",Active,SOUTH HACKENSACK,100 LOUIS ST ,NJ,7606,0,BERGEN,15-Jan-13,15-Jan-13,,
NJ-S-20001,"COOPER RIVER DISTILLERS, LLC",Active,CAMDEN,34  N 4TH ST ,NJ,8102,0,Camden,13-Nov-12,13-Nov-12,,
NJ-S-20003,CMY DISTILLERY LIMITED LIABILITY COMPANY,Active,CAPE MAY COURTHOUSE,371  ROUTE 47 ,NJ,8219,0,Cape May,8-Jul-13,8-Jul-13,,
NJ-S-20004,"AXIOS & SONS, LLC",Active,RICHLAND,1328  HARDING HWY ,NJ,8350,2445,Atlantic,3-Dec-13,3-Dec-13,,
NJ-S-20005,"CHELSEA FORGE VINTNERS, L.L.C.",Active,MILFORD,269  ROUTE 627 ,NJ,8848,0,,10-Jan-14,10-Jan-14,,
NJ-S-20006,THE GREAT NOTCH DISTILLERY LIMITED LIABILITY COMPANY,Active,WYCKOFF,465  WEST MAIN ST ,NJ,7481,0,Bergen,28-Mar-14,28-Mar-14,,
NJ-S-20007,CLAREMONT DISTILLED SPIRITS INC,Active,FAIRFIELD,25  COMMERCE RD ,NJ,7004,0,,18-Feb-15,18-Feb-15,,
NJ-S-20008,"AXIOS & SONS, LLC",Active,WILDWOOD,135  E SPICER AVE ,NJ,8260,4724,Cape May,2-Mar-15,2-Mar-15,,
NJ-S-20009,"UNIVERSAL SYNERGETICS, INC.",Active,MARLTON,5  E STOW RD ,NJ,8053,0,Burlington,6-Mar-15,6-Mar-15,,
NJ-S-20010,TRENTON FARMS LLC,Active,TRENTON,51  TUCKER ST ,NJ,8618,0,Mercer,6-Mar-15,6-Mar-15,,
