PERMIT_NUMBER,OWNER_NAME,STATUS_CODE,CITY,STREET,STATE,ZIP,ZIP4,COUNTY,PERMIT_EFFECTIVE_DATE,PERMIT_ISSUE_DATE,,
AZ-S-20016,THE INDEPENDENT DISTILLERY LLC,Active,TUCSON,30  S ARIZONA AVE ,AZ,85701,0,Arizona,31-Mar-16,31-Mar-16,,
AZ-S-20017,"THUMB BUTTE DISTILLERY, INC",Active,PRESCOTT,400  N. WASHINGTON AVE ,AZ,86301,0,Yavapai,14-Jun-16,14-Jun-16,,
AZ-S-20018,LEGACY DISTILLING LLC,Active,PHOENIX,1725  W WILLIAMS DR ,AZ,85027,0,Maricopa,30-Jun-16,30-Jun-16,,
AZ-S-20019,"ADVENTUROUS STILLS, LLC",Active,TEMPE,2125  E 5TH ST ,AZ,85281,0,Maricopa,8-Sep-16,8-Sep-16,,
AZ-S-20020,BLACK HAT DISTILLING LLC,Active,FLAGSTAFF,113  E PHOENIX AVE ,AZ,86001,5783,Coconino,18-Oct-16,18-Oct-16,,
CA-S-117,"FRANK-LIN DISTILLERS PRODUCTS, LTD.",Active,FAIRFIELD,2455 HUNTINGTON  DR ,CA,94533,0,SOLANO,1-May-67,1-May-67,,
CA-S-125,GIUMARRA VINEYARDS CORPORATION,Active,EDISON,11220 EDISON HWY ,CA,93220,0,KERN,23-Apr-65,23-Apr-65,,
CA-S-135,VIE-DEL COMPANY,Active,FRESNO,11903 S CHESTNUT AVE ,CA,93725,9618,FRESNO,29-Apr-91,29-Apr-91,,
CA-S-15001,O'NEILL BEVERAGES CO. LLC,Active,PARLIER,8418 S LAC JAC AVE ,CA,93648,9708,FRESNO,4-Aug-04,17-Nov-04,,
CA-S-15002,MODERN SPIRITS LLC,Active,LOS ANGELES,2459 E 8TH ST ,CA,90021,0,LOS ANGELES,17-Oct-04,17-Oct-04,,
CA-S-15004,GEORGE H MONTEVERDI AND MANBIN K MONTEVERDI,Active,NAPA,1794 TANEN ST ,CA,94559,1310,NAPA,24-Feb-05,24-Feb-05,,
CA-S-15007,HALTER WINERY LLC,Active,PASO ROBLES,8910 ADELAIDA RD ,CA,93446,8798,SAN LUIS OBISPO,17-Aug-05,17-Aug-05,,
CA-S-15008,"SAVANNAH-CHANELLE VINEYARDS, INC.",Active,SARATOGA,23600 CONGRESS SPRINGS RD ,CA,95070,9755,SANTA CLARA,19-Aug-05,19-Aug-05,,
CA-S-15009,"MARIAN TRADING, LTD.",Active,FRESNO,2305 N ROLINDA AVE ,CA,93722,0,FRESNO,9-Sep-05,9-Sep-05,,
CA-S-15010,STAGLIN FAMILY VINEYARD LLC,Active,RUTHERFORD,1570 BELLA OAKS LN ,CA,94573,0,NAPA,30-Aug-05,30-Aug-05,,
CA-S-15012,"CONSTELLATION BRANDS U.S. OPERATIONS, INC.",Active,GONZALES,800 S ALTA ST ,CA,93926,9501,MONTEREY,1-May-06,5-May-06,,
CA-S-15013,"BROTHERS INTERNATIONAL DESSERTS, INC.",Active,IRVINE,1682 KETTERING ,CA,92614,5614,ORANGE,27-Mar-06,27-Mar-06,,
CA-S-15014,"GREENWAY DISTILLERS, INC",Active,UKIAH,5000 LOW GAP RD ,CA,95482,0,MENDOCINO,4-May-06,4-May-06,,
CA-S-15018,"FOG'S END DISTILLERY, LLC",Active,GONZALES,425 ALTA ST ,CA,93926,0,MONTEREY,14-Apr-09,14-Apr-09,,
CA-S-15019,"ST. SUPERY, INC.",Active,RUTHERFORD,8440 ST HELENA HWY ,CA,94573,0,NAPA,29-Nov-15,25-Feb-16,,
CA-S-15020,"LAVA SPRINGS, INC.",Active,PLACERVILLE,2221 FRUITRIDGE RD ,CA,95667,3700,EL DORADO,2-Mar-07,2-Mar-07,,
CA-S-15022,"SPOTTSWOODE WINERY, INC.",Active,SAINT HELENA,1902 MADRONA AVE ,CA,94574,2354,NAPA,8-Aug-06,8-Aug-06,,
CA-S-15023,G. ROTTIE ENTERTAINMENT INC.,Active,HAWTHORNE,3822 W 139TH ST ,CA,90250,7470,LOS ANGELES,22-Mar-07,22-Mar-07,,
CA-S-15025,"PINE RIDGE WINERY, LLC",Active,NAPA,5901 SILVERADO TRL ,CA,94558,9417,NAPA,17-Jul-07,17-Jul-07,,
CA-S-15026,STE. MICHELLE WINE ESTATES LTD.,Active,SAINT HELENA,8711 SILVERADO TRAIL ,CA,94574,0,NAPA,3-Apr-07,3-Apr-07,,
CA-S-15028,TREANA WINERY LLC,Active,PASO ROBLES,4280 SECONDWIND WAY ,CA,93447,0,SAN LUIS OBISPO,3-Aug-07,3-Aug-07,,
CA-S-15029,"CONSTELLATION BRANDS U.S. OPERATIONS, INC.",Active,UKIAH,2399 N STATE ST ,CA,95482,3129,MENDOCINO,26-Jul-07,26-Jul-07,,
CA-S-15031,CASTORO CELLARS,Active,SAN MIGUEL,6465 VON DOLLEN RD ,CA,93451,9567,SAN LUIS OBISPO,12-Dec-07,12-Dec-07,,
CA-S-15033,"VENTURA LIMONCELLO COMPANY, LLC",Active,VENTURA,2646 PALMA DR ,CA,93003,7738,VENTURA,15-Nov-07,15-Nov-07,,
CA-S-15036,SCHEID VINEYARDS CALIFORNIA INC.,Active,GREENFIELD,1972 HOBSON AVE ,CA,93927,9605,MONTEREY,20-Nov-07,20-Nov-07,,
CA-S-15039,HAHN ESTATE,Active,SOLEDAD,37700 FOOTHILL RD ,CA,93960,9620,MONTEREY,29-Jan-08,29-Jan-08,,
