PERMIT_NUMBER,OWNER_NAME,STATUS_CODE,CITY,STREET,STATE,ZIP,ZIP4,COUNTY,PERMIT_EFFECTIVE_DATE,PERMIT_ISSUE_DATE
OH-S-20002,"DJK CREATIONS, LLC",Active,CLEVELAND,983 FRONT AVE ,OH,44113,1030,CUYAHOGA,10-Sep-12,10-Sep-12
OH-S-20003,ERIE SPIRITS INC.,Active,STRONGSVILLE,8377  PEARL RD ,OH,44136,1637,Cuyahoga,5-Nov-12,5-Nov-12
OH-S-20004,MAIN STREET GRILLE & BREWING COMPANY LLC,Active,GARRETTSVILLE,10724  SOUTH ST ,OH,44231,0,Portage,20-Nov-12,20-Nov-12
OH-S-237,"LUXCO, INC.",Active,CLEVELAND,3116 BEREA RD ,OH,44111,1501,CUYAHOGA,1-Jan-13,1-Jan-13
OH-S-239,"OUTTERSON, LLC",Active,CINCINNATI,4712 VINE ST ,OH,45217,0,HAMILTON,6-Jun-00,11-Jul-00
OH-S-240,"STEARNS & LEHMAN, INC",Active,MANSFIELD,30 PARAGON PKWY ,OH,44903,8074,RICHLAND,11-Apr-05,11-Apr-05
OK-S-20001,PRAIRIE WOLF SPIRITS LLC,Active,GUTHRIE,124  E OKLAHOMA AVE ,OK,73044,3243,UNITED STATES,29-Jun-12,29-Jun-12
OR-S-124,"BRANDY PEAK DISTILLERY & WINERY, INC.",Active,BROOKINGS,18526 TETLEY RD ,OR,97415,7121,CURRY,20-Apr-94,20-Apr-94
OR-S-125,"BENDISTILLERY, INC.",Active,BEND,19330 PINEHURST  RD ,OR,97703,0,DESCHUTES,18-Jun-96,18-Jun-96
OR-S-127,"MCMENAMINS, INC.",Active,TROUTDALE,2126 SW HALSEY ST ,OR,97060,1026,MULTNOMAH,25-Mar-98,25-Mar-98
OR-S-128,ROGUE RIVER BREWING COMPANY,Active,PORTLAND,1339 NW FLANDERS ST ,OR,97209,2619,MULTNOMAH,12-Mar-03,12-Mar-03
OR-S-131,NEW DEAL DISTILLERY LLC,Active,PORTLAND,900 SE SALMON ,OR,97214,0,MULTNOMAH,15-Jun-04,15-Jun-04
OR-S-15000,ANDERS S. JOHANSEN,Active,MCMINNVILLE,1805 NEHEMIAH LN ,OR,97128,9051,YAMHILL,7-Oct-04,7-Oct-04
OR-S-15005,"NORTHWEST DISTILLERY, INC.",Active,WARREN,32914 CHURCH RD ,OR,97053,9760,COLUMBIA,29-Mar-06,29-Mar-06
OR-S-15007,OREGON BREWING COMPANY,Active,NEWPORT,2122 SE MARINE SCIENCE  DR ,OR,97365,5258,LINCOLN,3-Aug-06,3-Aug-06
OR-S-15009,"TORII MOR WINERY, L.L.C.",Active,DUNDEE,18365 NE FAIRVIEW DR ,OR,97115,9112,YAMHILL,29-Aug-06,29-Aug-06
OR-S-15014,"CASCADE PEAK SPIRITS, INC.",Active,ASHLAND,280 E HERSEY ST ,OR,97520,1293,JACKSON,31-Dec-07,31-Dec-07
OR-S-15017,STE. MICHELLE WINE ESTATES LTD.,Active,DUNDEE,9409 NE WORDEN HILL RD ,OR,97115,9146,YAMHILL,20-Aug-08,20-Aug-08
