GEO_ID,NAME,H002001,H002002,H002003,H002004,H002005
id,Geographic Area Name,Total,Total!!Urban,Total!!Urban!!Inside urbanized areas,Total!!Urban!!Inside urban clusters,Total!!Rural
0500000US12107,"Putnam County, Florida",37337,15379,0,15379,21958
0500000US12109,"St. Johns County, Florida",89830,69552,67019,2533,20278
0500000US12111,"St. Lucie County, Florida",137029,132146,132146,0,4883
0500000US12113,"Santa Rosa County, Florida",64760,50929,50929,0,13831
0500000US12115,"Sarasota County, Florida",228413,220216,220216,0,8197
0500000US12129,"Wakulla County, Florida",12804,3443,0,3443,9361
0500000US12119,"Sumter County, Florida",53026,40750,36388,4362,12276
0500000US12121,"Suwannee County, Florida",19164,2942,0,2942,16222
0500000US02020,"Anchorage Municipality, Alaska",113032,107533,97417,10116,5499
0500000US02050,"Bethel Census Area, Alaska",5919,1743,0,1743,4176
0500000US02150,"Kodiak Island Borough, Alaska",5303,3358,0,3358,1945
0500000US02100,"Haines Borough, Alaska",1631,0,0,0,1631
0500000US02105,"Hoonah-Angoon Census Area, Alaska",1771,0,0,0,1771
0500000US02110,"Juneau City and Borough, Alaska",13055,10333,0,10333,2722
0500000US02122,"Kenai Peninsula Borough, Alaska",30578,4905,0,4905,25673
0500000US02130,"Ketchikan Gateway Borough, Alaska",6166,4682,0,4682,1484
0500000US02220,"Sitka City and Borough, Alaska",4102,3214,0,3214,888
0500000US02164,"Lake and Peninsula Borough, Alaska",1502(r15613),0,0,0,1502
0500000US02170,"Matanuska-Susitna Borough, Alaska",41329,16490,0,16490,24839
0500000US02180,"Nome Census Area, Alaska",4008,1364,0,1364,2644
0500000US02185,"North Slope Borough, Alaska",2500,1370,0,1370,1130
0500000US02188,"Northwest Arctic Borough, Alaska",2707,1109,0,1109,1598
0500000US02195,"Petersburg Census Area, Alaska",1994,0,0,0,1994
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",2992,0,0,0,2992
