County,W Weight,Unit Number
"Calhoun County, West Virginia",0.000,266
"Calloway County, Kentucky",0.000,267
"Calumet County, Wisconsin",0.000,268
"Calvert County, Maryland",0.000,269
"Cambria County, Pennsylvania",0.000,270
"Camden County, Georgia",0.000,271
"Camden County, New Jersey",0.000,272
"Camden County, North Carolina",0.000,273
"Cameron County, Pennsylvania",0.000,274
"Cameron Parish, Louisiana",0.000,275
"Campbell County, Kentucky",0.000,276
"Campbell County, South Dakota",0.000,277
"Campbell County, Tennessee",0.000,278
"Campbell County, Virginia",0.000,279
"Campbell County, Wyoming",0.000,280
"Canadian County, Oklahoma",0.000,281
"Candler County, Georgia",0.000,282
"Cannon County, Tennessee",0.000,283
"Cape May County, New Jersey",0.000,284
"Carbon County, Montana",0.000,285
"Carbon County, Pennsylvania",0.000,286
"Carbon County, Utah",0.000,287
"Carbon County, Wyoming",0.000,288
"Carlisle County, Kentucky",0.000,289
"Carlton County, Minnesota",0.000,290
"Caroline County, Maryland",0.000,291
"Caroline County, Virginia",0.000,292
"Carroll County, Arkansas",0.000,293
"Carroll County, Georgia",0.000,294
"Carroll County, Indiana",0.000,295
"Carroll County, Iowa",0.000,296
"Carroll County, Kentucky",0.000,297
"Carroll County, Maryland",0.000,298
"Carroll County, Mississippi",0.000,299
"Carroll County, New Hampshire",0.000,300
"Carroll County, Ohio",0.000,301
"Carroll County, Tennessee",0.000,302
"Carroll County, Virginia",0.000,303
"Carson City, Nevada",0.000,304
"Carter County, Kentucky",0.000,305
"Carter County, Montana",0.000,306
"Carter County, Oklahoma",0.000,307
"Carter County, Tennessee",0.000,308
"Carteret County, North Carolina",0.000,309
"Carver County, Minnesota",0.000,310
"Cascade County, Montana",0.000,311
"Casey County, Kentucky",0.000,312
"Cass County, Indiana",0.000,313
"Cass County, Iowa",0.000,314
"Cass County, Michigan",0.000,315
"Cass County, Minnesota",0.000,316
"Cass County, Nebraska",0.000,317
"Cass County, North Dakota",0.000,318
"Caswell County, North Carolina",0.000,319
"Catahoula Parish, Louisiana",0.000,320
"Catawba County, North Carolina",0.000,321
"Catoosa County, Georgia",0.000,322
"Cattaraugus County, New York",0.000,323
"Cavalier County, North Dakota",0.000,324
"Cayuga County, New York",0.000,325
"Cecil County, Maryland",0.000,326
"Cedar County, Iowa",0.000,327
"Cedar County, Nebraska",0.000,328
"Centre County, Pennsylvania",0.000,329
"Cerro Gordo County, Iowa",0.000,330
"Chaffee County, Colorado",0.000,331
"Chambers County, Alabama",0.000,332
"Champaign County, Ohio",0.000,333
"Charles City County, Virginia",0.000,334
"Charles County, Maryland",0.000,335
"Charles Mix County, South Dakota",0.000,336
"Charlevoix County, Michigan",0.000,337
"Charlotte County, Florida",0.000,338
"Charlotte County, Virginia",0.000,339
"Charlottesville city, Virginia",0.000,340
"Charlton County, Georgia",0.000,341
"Chase County, Nebraska",0.000,342
"Chatham County, Georgia",0.000,343
"Chatham County, North Carolina",0.000,344
"Chattahoochee County, Georgia",0.004,345
"Chattooga County, Georgia",0.000,346
"Chautauqua County, New York",0.000,347
"Cheatham County, Tennessee",0.000,348
"Cheboygan County, Michigan",0.000,349
"Chelan County, Washington",0.001,350
"Chemung County, New York",0.000,351
"Chenango County, New York",0.000,352
"Cherokee County, Alabama",0.000,353
"Cherokee County, Georgia",0.000,354
"Cherokee County, Iowa",0.000,355
"Cherokee County, North Carolina",0.000,356
"Cherokee County, Oklahoma",0.000,357
"Cherry County, Nebraska",0.000,358
"Chesapeake city, Virginia",0.000,359
"Cheshire County, New Hampshire",0.000,360
"Chester County, Pennsylvania",0.000,361
"Chester County, Tennessee",0.000,362
"Chesterfield County, Virginia",0.000,363
"Cheyenne County, Colorado",0.018,364
"Cheyenne County, Nebraska",0.000,365
"Chickasaw County, Iowa",0.000,366
"Chickasaw County, Mississippi",0.000,367
"Chicot County, Arkansas",0.000,368
"Chilton County, Alabama",0.000,369
"Chippewa County, Michigan",0.000,370
"Chippewa County, Minnesota",0.000,371
"Chippewa County, Wisconsin",0.000,372
"Chisago County, Minnesota",0.000,373
"Chittenden County, Vermont",0.000,374
"Choctaw County, Alabama",0.000,375
"Choctaw County, Mississippi",0.000,376
"Choctaw County, Oklahoma",0.000,377
"Chouteau County, Montana",0.000,378
"Chowan County, North Carolina",0.000,379
"Christian County, Kentucky",0.000,380
"Churchill County, Nevada",0.000,381
"Cimarron County, Oklahoma",0.000,382
"Citrus County, Florida",0.000,383
"Claiborne County, Mississippi",0.000,384
"Claiborne County, Tennessee",0.000,385
"Claiborne Parish, Louisiana",0.001,386
"Clallam County, Washington",0.000,387
"Clare County, Michigan",0.000,388
"Clarion County, Pennsylvania",0.000,389
"Clark County, Arkansas",0.000,390
"Clark County, Indiana",0.000,391
"Clark County, Kentucky",0.000,392
"Clark County, Nevada",0.026,393
"Clark County, Ohio",0.000,394
"Clark County, South Dakota",0.000,395
"Clark County, Washington",0.000,396
"Clark County, Wisconsin",0.000,397
"Clarke County, Alabama",0.000,398
"Clarke County, Georgia",0.000,399
"Clarke County, Iowa",0.000,400
"Clarke County, Mississippi",0.000,401
"Clarke County, Virginia",0.000,402
"Clay County, Alabama",0.000,403
"Clay County, Arkansas",0.000,404
"Clay County, Florida",0.000,405
"Clay County, Georgia",0.000,406
"Clay County, Indiana",0.000,407
"Clay County, Iowa",0.000,408
"Clay County, Kentucky",0.000,409
"Clay County, Minnesota",0.000,410
"Clay County, Mississippi",0.000,411
"Clay County, Nebraska",0.000,412
"Clay County, North Carolina",0.000,413
"Clay County, South Dakota",0.000,414
"Clay County, Tennessee",0.000,415
"Clay County, West Virginia",0.000,416
"Clayton County, Georgia",0.000,417
"Clayton County, Iowa",0.000,418
"Clear Creek County, Colorado",0.000,419
"Clearfield County, Pennsylvania",0.000,420
"Clearwater County, Minnesota",0.000,421
"Cleburne County, Alabama",0.000,422
"Cleburne County, Arkansas",0.000,423
"Clermont County, Ohio",0.000,424
"Cleveland County, Arkansas",0.000,425
"Cleveland County, North Carolina",0.000,426
"Cleveland County, Oklahoma",0.000,427
"Clinch County, Georgia",0.000,428
"Clinton County, Indiana",0.000,429
"Clinton County, Iowa",0.000,430
"Clinton County, Kentucky",0.000,431
"Clinton County, Michigan",0.000,432
"Clinton County, New York",0.000,433
"Clinton County, Ohio",0.000,434
"Clinton County, Pennsylvania",0.000,435
"Coahoma County, Mississippi",0.000,436
"Coal County, Oklahoma",0.000,437
"Cobb County, Georgia",0.000,438
"Cocke County, Tennessee",0.000,439
"Codington County, South Dakota",0.000,440
"Coffee County, Alabama",0.000,441
"Coffee County, Georgia",0.000,442
"Coffee County, Tennessee",0.000,443
"Colbert County, Alabama",0.000,444
"Colfax County, Nebraska",0.003,445
"Collier County, Florida",0.000,446
"Colonial Heights city, Virginia",0.000,447
"Colquitt County, Georgia",0.000,448
"Columbia County, Arkansas",0.000,449
"Columbia County, Florida",0.000,450
"Columbia County, Georgia",0.000,451
"Columbia County, New York",0.000,452
"Columbia County, Pennsylvania",0.000,453
"Columbia County, Washington",0.000,454
"Columbia County, Wisconsin",0.000,455
"Columbiana County, Ohio",0.000,456
"Columbus County, North Carolina",0.000,457
"Comanche County, Oklahoma",0.000,458
"Concordia Parish, Louisiana",0.000,459
"Conecuh County, Alabama",0.000,460
"Conejos County, Colorado",0.000,461
"Converse County, Wyoming",0.000,462
"Conway County, Arkansas",0.000,463
"Cook County, Georgia",0.000,464
"Cook County, Minnesota",0.000,465
"Coos County, New Hampshire",0.000,466
"Coosa County, Alabama",0.000,467
"Copiah County, Mississippi",0.000,468
"Corson County, South Dakota",0.000,469
"Cortland County, New York",0.000,470
"Coshocton County, Ohio",0.000,471
"Costilla County, Colorado",0.000,472
"Cotton County, Oklahoma",0.000,473
"Cottonwood County, Minnesota",0.000,474
"Covington County, Alabama",0.000,475
"Covington County, Mississippi",0.000,476
"Covington city, Virginia",0.000,477
"Coweta County, Georgia",0.000,478
"Cowlitz County, Washington",0.000,479
"Craig County, Oklahoma",0.000,480
"Craig County, Virginia",0.000,481
"Craighead County, Arkansas",0.000,482
"Craven County, North Carolina",0.000,483
"Crawford County, Arkansas",0.000,484
"Crawford County, Georgia",0.000,485
"Crawford County, Indiana",0.000,486
"Crawford County, Iowa",0.000,487
"Crawford County, Michigan",0.000,488
"Crawford County, Ohio",0.000,489
"Crawford County, Pennsylvania",0.000,490
"Crawford County, Wisconsin",0.000,491
"Creek County, Oklahoma",0.000,492
"Crenshaw County, Alabama",0.000,493
"Crisp County, Georgia",0.000,494
"Crittenden County, Arkansas",0.000,495
"Crittenden County, Kentucky",0.000,496
"Crockett County, Tennessee",0.000,497
"Crook County, Wyoming",0.000,498
"Cross County, Arkansas",0.000,499
"Crow Wing County, Minnesota",0.000,500
"Crowley County, Colorado",0.003,501
"Cullman County, Alabama",0.000,502
"Culpeper County, Virginia",0.000,503
"Cumberland County, Kentucky",0.000,504
"Cumberland County, Maine",0.000,505
"Cumberland County, New Jersey",0.000,506
"Cumberland County, North Carolina",0.000,507
"Cumberland County, Pennsylvania",0.000,508
"Cumberland County, Tennessee",0.000,509
"Cumberland County, Virginia",0.000,510
"Cuming County, Nebraska",0.000,511
"Currituck County, North Carolina",0.000,512
"Custer County, Colorado",0.000,513
"Custer County, Montana",0.000,514
"Custer County, Nebraska",0.000,515
"Custer County, Oklahoma",0.000,516
"Custer County, South Dakota",0.000,517
"Cuyahoga County, Ohio",0.000,518
"Dade County, Georgia",0.000,519
"Daggett County, Utah",0.003,520
"Dakota County, Minnesota",0.000,521
"Dakota County, Nebraska",0.000,522
"Dale County, Alabama",0.000,523
"Dallas County, Alabama",0.000,524
"Dallas County, Arkansas",0.000,525
"Dallas County, Iowa",0.000,526
"Dane County, Wisconsin",0.000,527
"Daniels County, Montana",0.000,528
"Danville city, Virginia",0.000,529
"Dare County, North Carolina",0.000,530
"Darke County, Ohio",0.000,531
"Dauphin County, Pennsylvania",0.000,532
"Davidson County, North Carolina",0.000,533
"Davidson County, Tennessee",0.000,534
"Davie County, North Carolina",0.000,535
"Daviess County, Indiana",0.000,536
"Daviess County, Kentucky",0.000,537
"Davis County, Iowa",0.000,538
"Davis County, Utah",0.000,539
"Davison County, South Dakota",0.000,540
"Dawes County, Nebraska",0.000,541
"Dawson County, Georgia",0.000,542
"Dawson County, Montana",0.000,543
"Dawson County, Nebraska",0.000,544
"Day County, South Dakota",0.000,545
"De Soto Parish, Louisiana",0.000,546
"DeKalb County, Alabama",0.000,547
"DeKalb County, Georgia",0.000,548
"DeKalb County, Indiana",0.000,549
"DeKalb County, Tennessee",0.000,550
"DeSoto County, Florida",0.000,551
"DeSoto County, Mississippi",0.000,552
"Dearborn County, Indiana",0.000,553
"Decatur County, Georgia",0.000,554
"Decatur County, Indiana",0.000,555
"Decatur County, Iowa",0.000,556
"Decatur County, Tennessee",0.000,557
"Deer Lodge County, Montana",0.000,558
"Defiance County, Ohio",0.000,559
"Delaware County, Indiana",0.000,560
"Delaware County, Iowa",0.000,561
"Delaware County, New York",0.000,562
"Delaware County, Ohio",0.000,563
"Delaware County, Oklahoma",0.000,564
"Delaware County, Pennsylvania",0.000,565
"Delta County, Colorado",0.000,566
"Delta County, Michigan",0.000,567
"Denver County, Colorado",0.000,568
"Des Moines County, Iowa",0.000,569
"Desha County, Arkansas",0.000,570
"Deuel County, Nebraska",0.008,571
"Deuel County, South Dakota",0.000,572
"Dewey County, Oklahoma",0.000,573
"Dewey County, South Dakota",0.000,574
"Dickenson County, Virginia",0.000,575
"Dickey County, North Dakota",0.000,576
"Dickinson County, Iowa",0.000,577
"Dickinson County, Michigan",0.000,578
"Dickson County, Tennessee",0.000,579
"Dinwiddie County, Virginia",0.000,580
"District of Columbia, District of Columbia",0.000,581
"Divide County, North Dakota",0.000,582
"Dixie County, Florida",0.000,583
"Dixon County, Nebraska",0.000,584
"Doddridge County, West Virginia",0.011,585
"Dodge County, Georgia",0.000,586
"Dodge County, Minnesota",0.000,587
"Dodge County, Nebraska",0.000,588
"Dodge County, Wisconsin",0.000,589
"Dolores County, Colorado",0.000,590
"Dooly County, Georgia",0.000,591
"Door County, Wisconsin",0.000,592
"Dorchester County, Maryland",0.000,593
"Dougherty County, Georgia",0.000,594
"Douglas County, Colorado",0.000,595
"Douglas County, Georgia",0.000,596
"Douglas County, Minnesota",0.000,597
"Douglas County, Nebraska",0.000,598
"Douglas County, Nevada",0.000,599
"Douglas County, South Dakota",0.000,600
"Douglas County, Washington",0.000,601
"Douglas County, Wisconsin",0.000,602
"Drew County, Arkansas",0.000,603
"Dubois County, Indiana",0.000,604
"Dubuque County, Iowa",0.000,605
"Duchesne County, Utah",0.000,606
"Dukes County, Massachusetts",0.000,607
"Dundy County, Nebraska",0.005,608
"Dunn County, North Dakota",0.000,609
"Dunn County, Wisconsin",0.000,610
"Duplin County, North Carolina",0.000,611
"Durham County, North Carolina",0.000,612
"Dutchess County, New York",0.000,613
"Duval County, Florida",0.000,614
"Dyer County, Tennessee",0.000,615
"Eagle County, Colorado",0.000,616
"Early County, Georgia",0.000,617
"East Baton Rouge Parish, Louisiana",0.000,618
"East Carroll Parish, Louisiana",0.000,619
"East Feliciana Parish, Louisiana",0.005,620
"Eaton County, Michigan",0.000,621
"Eau Claire County, Wisconsin",0.000,622
"Echols County, Georgia",0.000,623
"Eddy County, North Dakota",0.000,624
"Edgecombe County, North Carolina",0.000,625
"Edmonson County, Kentucky",0.000,626
"Edmunds County, South Dakota",0.000,627
"Effingham County, Georgia",0.000,628
"El Paso County, Colorado",0.000,629
"Elbert County, Colorado",0.000,630
"Elbert County, Georgia",0.000,631
"Elk County, Pennsylvania",0.000,632
"Elkhart County, Indiana",0.000,633
"Elko County, Nevada",0.002,634
"Elliott County, Kentucky",0.000,635
"Ellis County, Oklahoma",0.000,636
"Elmore County, Alabama",0.000,637
"Emanuel County, Georgia",0.000,638
"Emery County, Utah",0.000,639
"Emmet County, Iowa",0.000,640
"Emmet County, Michigan",0.000,641
"Emmons County, North Dakota",0.000,642
"Emporia city, Virginia",0.000,643
"Erie County, New York",0.000,644
"Erie County, Ohio",0.000,645
"Erie County, Pennsylvania",0.000,646
"Escambia County, Alabama",0.000,647
"Escambia County, Florida",0.000,648
"Esmeralda County, Nevada",0.000,649
"Essex County, Massachusetts",0.000,650
"Essex County, New Jersey",0.000,651
"Essex County, New York",0.000,652
"Essex County, Vermont",0.000,653
"Essex County, Virginia",0.000,654
"Estill County, Kentucky",0.000,655
"Etowah County, Alabama",0.000,656
"Eureka County, Nevada",0.000,657
"Evangeline Parish, Louisiana",0.000,658
"Evans County, Georgia",0.000,659
"Fairfax County, Virginia",0.000,660
"Fairfax city, Virginia",0.000,661
"Fairfield County, Connecticut",0.000,662
"Fairfield County, Ohio",0.000,663
"Fall River County, South Dakota",0.000,664
"Fallon County, Montana",0.000,665
"Falls Church city, Virginia",0.000,666
"Fannin County, Georgia",0.000,667
"Faribault County, Minnesota",0.000,668
"Faulk County, South Dakota",0.000,669
"Faulkner County, Arkansas",0.000,670
"Fauquier County, Virginia",0.000,671
"Fayette County, Alabama",0.000,672
"Fayette County, Georgia",0.000,673
"Fayette County, Indiana",0.000,674
"Fayette County, Iowa",0.000,675
"Fayette County, Kentucky",0.000,676
"Fayette County, Ohio",0.000,677
"Fayette County, Pennsylvania",0.000,678
