state,county,cz,czname,hhinc_mean2000,mean_commutetime2000,frac_coll_plus2000,frac_coll_plus2010,foreign_share2010,med_hhinc1990,med_hhinc2016,poor_share2010,poor_share2000,poor_share1990,share_white2010,share_black2010,share_hisp2010,share_asian2010,share_black2000,share_white2000,share_hisp2000,share_asian2000,gsmn_math_g3_2013,rent_twobed2015,singleparent_share2010,singleparent_share1990,singleparent_share2000,traveltime15_2010,emp2000,mail_return_rate2010,ln_wage_growth_hs_grad,popdensity2010,popdensity2000,ann_avg_job_growth_2004_2013,job_density_2013
41,3,38901,Eugene,80418.32,19.02948,.47609213,.48166302,.083708286,29193.67204841303,54743.64624499001,.20884451,.15937082,.15838629,.83609295,.013601468,.063882492,.044983,.011265885,.86940104,.046223108,.035600901,3.7568071,832.53326,.27858075,.20769462,.23501985,.48805556,.60981268,82.243271,-.29273763,126.60721,115.61009,.0042086081,61.182858
41,5,38801,Portland,98680.961,27.933174,.28163812,.31135246,.084425867,37119.7529651338,73259.03111768335,.088961229,.0649321,.06812688,.84482646,.01247633,.077496327,.031117383,.009405002,.8898735,.049401067,.02284546,3.4861088,1003.6481,.24489884,.17389187,.22558832,.24746124,.65357524,80.605698,.047695447,201.03052,180.92107,.0040562525,97.811981
41,7,38700,Longview,66957.914,20.173801,.19002894,.21236269,.04924443,26330.52726226674,49044.4676152164,.12933663,.12991437,.13764869,.8719188,.0075595994,.076621942,.010426968,.0061197076,.90992433,.04393341,.010745816,3.1079526,813.84515,.37291008,.21368805,.31427234,.51851577,.58054352,83.071846,.035226796,44.676437,42.976902,-.0063762353,19.866112
41,9,38801,Portland,76769.156,31.435383,.14066294,.16751243,.032220218,29401.04001275536,55871.24951875342,.10383788,.091079123,.10327731,.90298069,.0083483616,.04026261,.0076735201,.0041209143,.93095201,.025620038,.0052408301,2.5423262,775.87347,.29702169,.18676426,.24933173,.28492281,.60876268,81.985397,.032438189,75.074768,66.265259,-.0044169794,30.653008
41,11,36902,Roseburg,58682.344,20.272087,.14918478,.18334286,.032655735,22477.90306688695,39569.72507653506,.16511558,.15147559,.16584577,.86956519,.0073759179,.053788684,.0095942011,.0047684973,.90118241,.034264509,.0086629419,2.785152,677.40381,.35558277,.25459412,.31797734,.49888498,.49397174,83.006409,.038703807,39.496323,39.330402,-.0098723937,14.810415
41,13,39203,Bend,62090.031,20.306164,.12771936,.15387313,.041855097,23593.30666749757,39529.7592239489,.14144367,.11385434,.10591277,.89417487,.003432167,.069739729,.0043402612,.00097495352,.9150278,.055204149,.0038820074,2.8300974,701.0672,.28646567,.17745656,.24519251,.48557377,.54753047,84.672577,-.18149841,7.0417547,6.4388857,-.0060696062,2.6283221
41,15,36901,Crescent City,57731.984,15.514201,.16653432,.18361712,.037775688,23005.7769219286,40017.17013950993,.13856794,.12150657,.12152798,.88700593,.0069307815,.053702377,.0065901708,.0025664635,.90860832,.035872877,.0063486393,3.3893666,835.39478,.38664466,.22261582,.30521709,.6489284,.45524353,83.71936,.087906659,13.741667,12.987731,-.01436512,4.7448201
41,17,39203,Bend,79781.773,20.046274,.25302729,.29304579,.046220195,28160.27797832574,56634.3527479982,.10368196,.090915523,.10473372,.88421571,.0067582559,.074290097,.008354146,.0033610924,.92956525,.036929946,.0067534856,3.6506836,866.42505,.24514188,.19182862,.25387436,.44804522,.62008333,82.210403,,52.26088,38.223965,.0072679999,23.451181
41,19,36902,Roseburg,60506.977,21.010344,.13100609,.15174274,.026275065,24329.21383162593,43018.16846387472,.15617239,.13137162,.14784598,.89482385,.0060649966,.046950318,.0083993468,.0033564046,.91930908,.032822601,.005819872,2.6925359,690.77216,.32225195,.23285069,.29226804,.42679048,.52754831,80.795067,-.0073566549,21.379154,19.935966,-.0094895028,7.8360643
41,21,39204,Condon,59913.215,18.847977,.13377193,.18820015,.058925476,24020,40556,.10590278,.090575919,.11901984,.92196685,.0026723677,.047033671,.0016034206,.0015665797,.96031332,.018276762,.0015665797,,,.24025974,.11520737,.18584071,.58272505,.61422974,79.199997,-.0061159683,1.5529433,1.5894636,-.026941705,.63744545
